SIDONAME,ZSCODE,ZCODE,COUNT
경상북도,47000,47,9029
경상북도 포항시,47110,47,2209
경상북도 포항시 남구,47111,47,0
경상북도 포항시 북구,47113,47,0
경상북도 경주시,47130,47,817
경상북도 김천시,47150,47,511
경상북도 안동시,47170,47,565
경상북도 구미시,47190,47,1687
경상북도 영주시,47210,47,202
경상북도 영천시,47230,47,273
경상북도 상주시,47250,47,198
경상북도 문경시,47280,47,151
경상북도 경산시,47290,47,1022
경상북도 군위군,47720,47,88
경상북도 의성군,47730,47,78
경상북도 청송군,47750,47,78
경상북도 영양군,47760,47,24
경상북도 영덕군,47770,47,80
경상북도 청도군,47820,47,102
경상북도 고령군,47830,47,76
경상북도 성주군,47840,47,116
경상북도 칠곡군,47850,47,402
경상북도 예천군,47900,47,192
경상북도 봉화군,47920,47,33
경상북도 울진군,47930,47,109
경상북도 울릉군,47940,47,15